"gene","hgnc_symbol","n_disorders","disorders","degree","weighted_degree"
"ENSG00000000938","FGR",2,"OCD;SZ",2413,2718
"ENSG00000000971","CFH",2,"OCD;SZ",2413,2718
"ENSG00000002549","LAP3",3,"ASD;MDD;OCD",4712,6841
"ENSG00000002746","HECW1",2,"ASD;MDD",4478,5520
"ENSG00000002933","TMEM176A",3,"ASD;OCD;SZ",3360,4154
"ENSG00000003096","KLHL13",2,"MDD;OCD",4488,5405
"ENSG00000003147","ICA1",2,"ASD;MDD",4478,5520
"ENSG00000003402","CFLAR",3,"ADHD;ASD;BD",3986,4683
"ENSG00000004534","RBM6",2,"MDD;SZ",4554,5481
"ENSG00000004776","HSPB6",2,"BD;MDD",4639,6215
"ENSG00000004777","ARHGAP33",3,"ADHD;MDD;OCD",4654,6521
"ENSG00000004866","ST7",2,"MDD;OCD",4488,5405
"ENSG00000004948","CALCR",2,"MDD;SZ",4554,5481
"ENSG00000005007","UPF1",2,"ASD;BD",3243,3567
"ENSG00000005020","SKAP2",2,"MDD;SZ",4554,5481
"ENSG00000005059","MCUB",3,"BD;OCD;SZ",3682,4849
"ENSG00000005075","POLR2J",2,"MDD;OCD",4488,5405
"ENSG00000005108","THSD7A",2,"MDD;OCD",4488,5405
"ENSG00000005194","CIAPIN1",2,"ADHD;MDD",4310,5200
"ENSG00000005206","SPPL2B",2,"ASD;SZ",2595,2833
"ENSG00000005249","PRKAR2B",3,"ASD;MDD;OCD",4712,6841
"ENSG00000005339","CREBBP",2,"ADHD;MDD",4310,5200
"ENSG00000005381","MPO",2,"MDD;OCD",4488,5405
"ENSG00000005448","WDR54",2,"ADHD;ASD",2382,2552
"ENSG00000005700","IBTK",2,"BD;MDD",4639,6215
"ENSG00000005844","ITGAL",4,"BD;MDD;OCD;SZ",4958,8933
"ENSG00000005884","ITGA3",2,"ADHD;MDD",4310,5200
"ENSG00000005961","ITGA2B",2,"BD;MDD",4639,6215
"ENSG00000006015","REX1BD",2,"ASD;MDD",4478,5520
"ENSG00000006016","CRLF1",2,"BD;OCD",3117,3452
"ENSG00000006042","TMEM98",2,"MDD;OCD",4488,5405
"ENSG00000006062","MAP3K14",2,"BD;MDD",4639,6215
"ENSG00000006116","CACNG3",2,"ASD;OCD",2440,2757
"ENSG00000006128","TAC1",3,"BD;MDD;SZ",4810,7612
"ENSG00000006283","CACNA1G",2,"MDD;SZ",4554,5481
"ENSG00000006327","TNFRSF12A",2,"ASD;SZ",2595,2833
"ENSG00000006377","DLX6",2,"MDD;OCD",4488,5405
"ENSG00000006432","MAP3K9",2,"ASD;OCD",2440,2757
"ENSG00000006468","ETV1",2,"BD;OCD",3117,3452
"ENSG00000006652","IFRD1",2,"BD;MDD",4639,6215
"ENSG00000006704","GTF2IRD1",2,"BD;MDD",4639,6215
"ENSG00000006712","PAF1",2,"ADHD;MDD",4310,5200
"ENSG00000007047","MARK4",2,"ASD;MDD",4478,5520
"ENSG00000007080","CCDC124",2,"MDD;SZ",4554,5481
"ENSG00000007264","MATK",3,"ADHD;MDD;OCD",4654,6521
"ENSG00000007384","RHBDF1",3,"MDD;OCD;SZ",4809,6802
"ENSG00000007402","CACNA2D2",3,"ASD;MDD;SZ",4826,6917
"ENSG00000007520","TSR3",2,"BD;MDD",4639,6215
"ENSG00000007866","TEAD3",2,"OCD;SZ",2413,2718
"ENSG00000007944","MYLIP",3,"ADHD;BD;MDD",4766,7331
